"","quad","year","NRquad","totParea","recArea","quadname","Grazing","Group"
"1","q21",34,16,55.791925,0.286779852102253,"e1q4-1","No","lb1"
"2","q21",48,0,45.09977,0,"e1q4-1","No","lb1"
"3","q21",50,0,71.803586,0,"e1q4-1","No","lb1"
"4","q21",54,14,92.88879,0.150717863802511,"e1q4-1","No","lb1"
"5","q21",65,0,950.487772,0,"e1q4-1","No","lb1"
"6","q21",58,0,138.062211,0,"e1q4-1","No","lb1"
"7","q21",37,1,109.200269,0.00915748659923173,"e1q4-1","No","lb1"
"8","q21",35,0,90.0217443,0,"e1q4-1","No","lb1"
"9","q21",49,3,41.303062,0.0726338400770384,"e1q4-1","No","lb1"
"10","q21",51,0,20.897747,0,"e1q4-1","No","lb1"
"11","q21",55,0,96.8951905,0,"e1q4-1","No","lb1"
"12","q21",57,2,265.87728,0.00752226741600486,"e1q4-1","No","lb1"
"13","q21",52,1,38.055835,0.0262771793077198,"e1q4-1","No","lb1"
"14","q21",66,0,482.6895502,0,"e1q4-1","No","lb1"
"15","q21",38,0,90.09311,0,"e1q4-1","No","lb1"
"16","q21",62,2,457.108459,0.00437532922574946,"e1q4-1","No","lb1"
"17","q21",67,2,790.29161,0.00253071141676425,"e1q4-1","No","lb1"
"18","q21",56,1,26.110021,0.0382994713026083,"e1q4-1","No","lb1"
"19","q21",47,0,26.67895,0,"e1q4-1","No","lb1"
"20","q21",64,2,405.5252089,0.0049318758886163,"e1q4-1","No","lb1"
"21","q21",60,2,90.719348,0.0220460138227625,"e1q4-1","No","lb1"
"22","q21",59,0,506.86666,0,"e1q4-1","No","lb1"
"23","q21",53,0,56.737682,0,"e1q4-1","No","lb1"
"24","q21",61,1,461.324001,0.00216767390777919,"e1q4-1","No","lb1"
"25","q21",63,3,153.6626175,0.0195232910177389,"e1q4-1","No","lb1"
"26","q23",34,0,13.26592,0,"e1q4a-1","No","lb1"
"27","q23",58,0,7.744865,0,"e1q4a-1","No","lb1"
"28","q23",66,0,7.5987288,0,"e1q4a-1","No","lb1"
"29","q23",59,0,58.52985,0,"e1q4a-1","No","lb1"
"30","q23",65,0,189.3165,0,"e1q4a-1","No","lb1"
"31","q23",60,0,29.68004,0,"e1q4a-1","No","lb1"
"32","q23",67,0,40.46197,0,"e1q4a-1","No","lb1"
"33","q23",61,1,76.327881,0.0131013724853701,"e1q4a-1","No","lb1"
"34","q24",38,0,32.970823,0,"e1q4a-2","No","lb1"
"35","q24",34,4,26.532513,0.150758429855476,"e1q4a-2","No","lb1"
"36","q24",67,0,7.739676,0,"e1q4a-2","No","lb1"
"37","q24",37,2,12.36609,0.16173260909471,"e1q4a-2","No","lb1"
"38","q24",65,0,7.348566,0,"e1q4a-2","No","lb1"
"39","q24",40,0,1.4724265,0,"e1q4a-2","No","lb1"
"40","q24",35,0,21.238358,0,"e1q4a-2","No","lb1"
"41","q25",64,1,2618.89647,0.000381840218372588,"e1q5-1","No","bb1"
"42","q25",45,2,167.49256,0.0119408288941312,"e1q5-1","No","bb1"
"43","q25",58,0,3110.25247,0,"e1q5-1","No","bb1"
"44","q25",56,11,938.790709,0.0117172016025992,"e1q5-1","No","bb1"
"45","q25",54,1,1284.408948,0.000778568229034169,"e1q5-1","No","bb1"
"46","q25",55,1,1871.564096,0.000534312451354057,"e1q5-1","No","bb1"
"47","q25",62,0,2144.759289,0,"e1q5-1","No","bb1"
"48","q25",57,3,1582.165895,0.00189613491826658,"e1q5-1","No","bb1"
"49","q25",35,7,297.272356,0.0235474300207047,"e1q5-1","No","bb1"
"50","q25",63,0,2238.78992,0,"e1q5-1","No","bb1"
"51","q25",42,1,291.34744,0.00343232808223748,"e1q5-1","No","bb1"
"52","q25",34,30,67.21196,0.446349131910452,"e1q5-1","No","bb1"
"53","q25",50,3,320.938931,0.00934757273183539,"e1q5-1","No","bb1"
"54","q25",71,0,4185.264099,0,"e1q5-1","No","bb1"
"55","q25",36,6,500.391547,0.0119906102250764,"e1q5-1","No","bb1"
"56","q25",53,3,886.578813,0.00338379392334971,"e1q5-1","No","bb1"
"57","q25",70,0,1965.082574,0,"e1q5-1","No","bb1"
"58","q25",61,0,4136.049992,0,"e1q5-1","No","bb1"
"59","q25",52,0,367.198034,0,"e1q5-1","No","bb1"
"60","q25",51,4,401.600205,0.0099601542783077,"e1q5-1","No","bb1"
