"","quad","year","quadname","trackID","area","survives","age","distEdgeMin","allEdge","Grazing","Group"
"1","q21",34,"e1q4.1",24,15.82423,1,1,17.2659454345703,0,"No","lb1"
"2","q21",34,"e1q4.1",23,10.46225,1,1,6.44965362548828,0,"No","lb1"
"3","q21",34,"e1q4.1",22,5.886714,1,1,4.37047576904297,0,"No","lb1"
"4","q21",34,"e1q4.1",19,3.418433,0,1,-0.012359619140625,1,"No","lb1"
"5","q21",34,"e1q4.1",20,5.018108,0,1,3.13372039794922,0,"No","lb1"
"6","q21",34,"e1q4.1",21,15.18219,1,1,8.175537109375,0,"No","lb1"
"7","q21",35,"e1q4.1",29,5.707816,0,1,13.2679214477539,0,"No","lb1"
"8","q21",35,"e1q4.1",40,1.840001,0,1,21.5301971435547,0,"No","lb1"
"9","q21",35,"e1q4.1",22,3.220283,1,2,0.602890014648438,1,"No","lb1"
"10","q21",35,"e1q4.1",31,1.765897,0,1,28.7466430664062,0,"No","lb1"
"11","q21",50,"e1q4.1",47,40.32272,0,1,13.9446659088135,0,"No","lb1"
"12","q21",50,"e1q4.1",46,4.374179,0,1,3.66047692298889,0,"No","lb1"
"13","q21",50,"e1q4.1",45,4.72162,1,1,22.9215354919434,0,"No","lb1"
"14","q21",50,"e1q4.1",43,22.385067,1,4,-0.606582641601562,0,"No","lb1"
"15","q21",35,"e1q4.1",27,7.299947,1,1,8.58281707763672,0,"No","lb1"
"16","q21",35,"e1q4.1",26,0.7438543,0,1,3.66252136230469,1,"No","lb1"
"17","q21",55,"e1q4.1",53,2.562276,0,1,7.09878540039062,0,"No","lb1"
"18","q21",53,"e1q4.1",45,47.438351,1,4,13.6572017669678,0,"No","lb1"
"19","q21",53,"e1q4.1",48,9.299331,1,1,0.797279357910156,1,"No","lb1"
"20","q21",55,"e1q4.1",59,0.6881461,0,1,7.97553253173828,0,"No","lb1"
"21","q21",55,"e1q4.1",54,3.867035,0,1,9.36771392822266,0,"No","lb1"
"22","q21",55,"e1q4.1",45,54.188394,1,6,8.6885871887207,0,"No","lb1"
"23","q21",55,"e1q4.1",57,0.6881522,0,1,11.2857360839844,0,"No","lb1"
"24","q21",55,"e1q4.1",58,3.648706,0,1,12.5894241333008,0,"No","lb1"
"25","q21",48,"e1q4.1",43,45.09977,1,2,0.108200073242188,0,"No","lb1"
"26","q21",55,"e1q4.1",50,3.357346,0,1,18.0215682983398,0,"No","lb1"
"27","q21",55,"e1q4.1",48,4.847234,1,3,4.75726318359375,0,"No","lb1"
"28","q21",55,"e1q4.1",56,1.551701,0,1,4.74549865722656,0,"No","lb1"
"29","q21",55,"e1q4.1",61,0.6881555,0,1,6.86425018310547,0,"No","lb1"
"30","q21",55,"e1q4.1",62,0.5391975,0,1,3.98667907714844,0,"No","lb1"
"31","q21",55,"e1q4.1",55,6.971477,0,1,11.7354888916016,0,"No","lb1"
"32","q21",55,"e1q4.1",60,0.7917082,0,1,1.40476226806641,1,"No","lb1"
"33","q21",67,"e1q4.1",71,90.07566,0,4,-0.392433166503906,0,"No","lb1"
"34","q21",65,"e1q4.1",66,188.32599,1,5,0.0543975830078125,0,"No","lb1"
"35","q21",65,"e1q4.1",63,220.05261,1,9,-0.000210023776162416,0,"No","lb1"
"36","q21",65,"e1q4.1",48,4.900566,0,13,5.60607290267944,0,"No","lb1"
"37","q21",65,"e1q4.1",67,35.938933,1,5,2.36817932128906,0,"No","lb1"
"38","q21",65,"e1q4.1",71,224.736586,1,2,1.94292449951172,0,"No","lb1"
"39","q21",65,"e1q4.1",74,5.751617,0,1,12.4235153198242,0,"No","lb1"
"40","q21",65,"e1q4.1",64,47.88498,0,8,20.2835388183594,0,"No","lb1"
"41","q21",65,"e1q4.1",75,13.87159,0,1,1.02867770195007,1,"No","lb1"
"42","q21",65,"e1q4.1",68,209.0249,1,4,25.0944671630859,0,"No","lb1"
"43","q21",52,"e1q4.1",45,38.055835,1,3,16.7552642822266,0,"No","lb1"
"44","q21",35,"e1q4.1",21,7.434286,1,2,8.45640563964844,0,"No","lb1"
